Labels,Ge-Si-445-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

1215.000,1.18209460E+3,
1216.000,1.20837268E+3,
1217.000,1.06616919E+3,
1218.000,1.08751648E+3,
1219.000,1.04087671E+3,
1220.00,1.07180566E+3,
1221.000,9.76185608E+2,
1222.000,1.04880420E+3,
1223.000,1.04609314E+3,
1224.000,9.72903381E+2,
1225.000,1.02109943E+3,
1226.000,9.07997131E+2,
1227.000,9.52083069E+2,
1228.000,9.66346558E+2,
1229.000,9.48815186E+2,
1230.00,9.62523132E+2,
1231.000,9.24406067E+2,
1232.000,9.68937073E+2,
1233.000,8.01104431E+2,
1234.000,9.07439514E+2,
1235.000,8.23536377E+2,
1236.000,8.67707214E+2,
1237.000,7.92113220E+2,
1238.000,8.13307068E+2,
1239.000,7.40264709E+2,
1240.00,8.06486206E+2,
1241.000,7.80148376E+2,
1242.000,7.59348877E+2,
1243.000,7.35314331E+2,
1244.000,6.67986206E+2,
1245.000,6.60849548E+2,
1246.000,7.30466064E+2,
1247.000,6.47479248E+2,
1248.000,6.47674805E+2,
1249.000,6.52976990E+2,
1250.00,6.14794312E+2,
1251.000,6.34260742E+2,
1252.000,6.55933289E+2,
1253.000,5.76580505E+2,
1254.000,5.65359619E+2,
1255.000,5.95024658E+2,
1256.000,5.05964508E+2,
1257.000,5.05646088E+2,
1258.000,4.74594971E+2,
1259.000,5.38887634E+2,
1260.00,5.43664856E+2,
1261.000,5.39399170E+2,
1262.000,5.26041626E+2,
1263.000,5.23967651E+2,
1264.000,4.55179504E+2,
1265.000,4.13907349E+2,
1266.000,4.51853943E+2,
1267.000,4.61596588E+2,
1268.000,4.48318848E+2,
1269.000,3.90424438E+2,
1270.00,3.60843781E+2,
1271.000,3.46429779E+2,
1272.000,3.67044006E+2,
1273.000,4.10061432E+2,
1274.000,3.37671844E+2,
1275.000,3.66918304E+2,
1276.000,3.55021301E+2,
1277.000,3.18772888E+2,
1278.000,3.47795349E+2,
1279.000,3.50256653E+2,
1280.00,3.66075378E+2,
