Labels,Zn-445-780-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

1169.000,2.23853296E+3,
1170.00,2.15000122E+3,
1171.000,2.20024854E+3,
1172.000,2.25280103E+3,
1173.000,2.20926294E+3,
1174.000,2.17451538E+3,
1175.000,2.08253003E+3,
1176.000,2.03116064E+3,
1177.000,1.95421838E+3,
1178.000,1.96816089E+3,
1179.000,1.80618542E+3,
1180.00,1.96251355E+3,
1181.000,1.85604272E+3,
1182.000,1.76458887E+3,
1183.000,1.80569666E+3,
1184.000,1.84295911E+3,
1185.000,1.74360339E+3,
1186.000,1.73215869E+3,
1187.000,1.70714172E+3,
1188.000,1.65713416E+3,
1189.000,1.65381665E+3,
1190.00,1.61244824E+3,
1191.000,1.52102930E+3,
1192.000,1.66040698E+3,
1193.000,1.56129211E+3,
1194.000,1.52239160E+3,
1195.000,1.47023816E+3,
1196.000,1.32207434E+3,
1197.000,1.50930957E+3,
1198.000,1.48562891E+3,
1199.000,1.47080957E+3,
1200.00,1.45266638E+3,
