Labels,GA-IN-445-805-EM,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

1144.000,6.45715771E+3,
1145.000,6.33167529E+3,
1146.000,6.37432324E+3,
1147.000,6.36347363E+3,
1148.000,5.93709570E+3,
1149.000,5.86996680E+3,
1150.00,5.83126221E+3,
1151.000,5.79780957E+3,
1152.000,5.66983154E+3,
1153.000,5.63616113E+3,
1154.000,5.36261670E+3,
1155.000,5.41747070E+3,
1156.000,5.40493115E+3,
1157.000,5.35727734E+3,
1158.000,5.07667041E+3,
1159.000,5.03164600E+3,
1160.00,5.03739502E+3,
1161.000,5.01970166E+3,
1162.000,4.95598877E+3,
1163.000,4.72691406E+3,
1164.000,4.69621387E+3,
1165.000,4.61094238E+3,
1166.000,4.60123291E+3,
1167.000,4.45627490E+3,
1168.000,4.33648926E+3,
1169.000,4.40994434E+3,
1170.00,4.23446680E+3,
1171.000,4.24944238E+3,
1172.000,4.30089844E+3,
1173.000,4.07511523E+3,
1174.000,3.94293994E+3,
1175.000,3.96515308E+3,
1176.000,3.80286523E+3,
1177.000,3.73553149E+3,
1178.000,3.72102417E+3,
1179.000,3.83955542E+3,
1180.00,3.82584521E+3,
1181.000,3.53877612E+3,
1182.000,3.50325317E+3,
1183.000,3.47029980E+3,
1184.000,3.49560327E+3,
1185.000,3.43147119E+3,
1186.000,3.28350562E+3,
1187.000,3.25368164E+3,
1188.000,3.17110840E+3,
1189.000,3.23487158E+3,
1190.00,3.06566016E+3,
1191.000,3.16784619E+3,
1192.000,3.05441479E+3,
1193.000,2.93411304E+3,
1194.000,2.93352856E+3,
1195.000,2.84818726E+3,
1196.000,2.92958521E+3,
1197.000,2.84004956E+3,
1198.000,2.85129395E+3,
1199.000,2.75718726E+3,
1200.00,2.70949219E+3,
1201.000,2.70367310E+3,
1202.000,2.64698291E+3,
1203.000,2.57330176E+3,
1204.000,2.60524487E+3,
1205.000,2.43727124E+3,
1206.000,2.45867236E+3,
1207.000,2.45698682E+3,
1208.000,2.39472388E+3,
1209.000,2.32493335E+3,
1210.00,2.31196558E+3,
1211.000,2.34032910E+3,
1212.000,2.22577100E+3,
1213.000,2.19597949E+3,
1214.000,2.17448096E+3,
1215.000,2.08420337E+3,
1216.000,2.06772046E+3,
1217.000,2.02531018E+3,
1218.000,1.89730090E+3,
1219.000,2.02070593E+3,
1220.00,1.98879663E+3,
1221.000,1.96923840E+3,
1222.000,1.85969495E+3,
1223.000,1.83588501E+3,
1224.000,1.90676062E+3,
1225.000,1.89055664E+3,
1226.000,1.84884082E+3,
1227.000,1.88490051E+3,
1228.000,1.78709155E+3,
1229.000,1.74724402E+3,
1230.00,1.77136060E+3,
1231.000,1.61209351E+3,
1232.000,1.67026196E+3,
1233.000,1.49089392E+3,
1234.000,1.58484534E+3,
1235.000,1.58815906E+3,
1236.000,1.57560547E+3,
1237.000,1.51581348E+3,
1238.000,1.48222070E+3,
1239.000,1.48011108E+3,
1240.00,1.49630823E+3,
1241.000,1.37389563E+3,
1242.000,1.39012317E+3,
1243.000,1.40493335E+3,
1244.000,1.29936230E+3,
