Labels,Ge-Sn-445-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

1226.000,1.21872421E+2,
1227.000,1.91399979E+2,
1228.000,1.76684219E+2,
1229.000,1.75774689E+2,
1230.00,1.68534668E+2,
1231.000,2.07513046E+2,
1232.000,1.63382324E+2,
1233.000,1.35734100E+2,
1234.000,1.96645279E+2,
1235.000,1.82229980E+2,
1236.000,2.40845596E+2,
1237.000,1.89269348E+2,
1238.000,1.99838425E+2,
1239.000,2.15468781E+2,
1240.00,1.63739609E+2,
1241.000,1.85087097E+2,
1242.000,1.56383606E+2,
1243.000,1.55108856E+2,
1244.000,1.18265060E+2,
1245.000,1.51893433E+2,
1246.000,1.36000076E+2,
1247.000,1.48002045E+2,
1248.000,1.83524826E+2,
1249.000,1.12059189E+2,
1250.00,2.47014679E+2,
1251.000,1.84618515E+2,
1252.000,1.46490402E+2,
1253.000,1.33548431E+2,
1254.000,8.43480682E+1,
1255.000,1.30038452E+2,
1256.000,1.50536819E+2,
1257.000,1.76695862E+2,
1258.000,1.21430992E+2,
1259.000,1.11055374E+2,
1260.00,7.79659805E+1,
1261.000,1.22193695E+2,
1262.000,6.59584274E+1,
1263.000,9.30331268E+1,
1264.000,9.40414124E+1,
1265.000,1.65894608E+2,
1266.000,6.51477814E+1,
1267.000,2.12687130E+1,
1268.000,7.35262070E+1,
1269.000,4.79141388E+1,
1270.00,9.82133636E+1,
1271.000,1.23755562E+2,
1272.000,6.96567917E+1,
1273.000,1.07004456E+2,
1274.000,9.51035843E+1,
1275.000,9.30648651E+1,
1276.000,8.59806900E+1,
1277.000,9.39471207E+1,
1278.000,7.10206528E+1,
1279.000,4.00199738E+1,
1280.00,6.67803116E+1,
1281.000,1.11254295E+2,
1282.000,5.75956993E+1,
1283.000,1.04538826E+2,
1284.000,3.38446274E+1,
1285.000,6.09070473E+1,
1286.000,7.59081345E+1,
1287.000,4.97032051E+1,
1288.000,7.45421066E+1,
1289.000,4.68261108E+1,
1290.00,7.72583389E+1,
1291.000,5.78754845E+1,
1292.000,1.14028893E+2,
1293.000,8.53904724E+1,
1294.000,1.24330475E+2,
1295.000,1.19153526E+2,
1296.000,4.14605331E+1,
1297.000,2.38683376E+1,
1298.000,9.98863373E+1,
1299.000,6.19173088E+1,
1300.00,2.97160072E+1,
