Labels,KONGBAI,
Type,Emission Scan,
Comment,,
Start,425.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.23999718,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.2999973,
Detector,Det 1,

712.500,-4.13990860E+1,
713.00,-6.98873138E+0,
713.500,4.21173706E+1,
714.00,4.98096581E+1,
714.500,7.16219711E+0,
715.00,-2.16024151E+1,
715.500,5.81784172E+1,
716.00,-3.69438324E+1,
716.500,-4.44938812E+1,
717.00,4.49105453E+1,
717.500,6.79193573E+1,
718.00,-2.28647289E+1,
718.500,9.22355804E+1,
719.00,-1.55225220E+1,
719.500,-5.49554176E+1,
720.00,4.74875183E+1,
720.500,3.97696190E+1,
721.00,8.02569675E+0,
721.500,3.25910034E+1,
722.00,9.03639679E+1,
722.500,-2.49153500E+1,
723.00,0.00000000E+0,
723.500,2.53126373E+1,
724.00,-3.40420341E+1,
724.500,-8.59552097E+0,
725.00,-1.73167591E+1,
725.500,8.77158165E+0,
726.00,0.00000000E+0,
726.500,-5.33266182E+1,
727.00,-9.01958752E+0,
727.500,9.09605217E+0,
728.00,9.16112423E+0,
728.500,-9.28078270E+0,
729.00,3.73880157E+1,
729.500,9.47178116E+1,
730.00,1.91258698E+1,
730.500,-1.93450928E+1,
731.00,-9.74583530E+0,
731.500,4.91433525E+1,
732.00,-2.98696632E+1,
732.500,3.00837765E+1,
733.00,6.09396667E+1,
733.500,-2.05644341E+1,
734.00,1.03592453E+1,
734.500,1.04505482E+1,
735.00,-5.27910843E+1,
735.500,-3.20226402E+1,
736.00,7.48468323E+1,
736.500,5.45323715E+1,
737.00,1.31703934E+2,
737.500,8.87710342E+1,
738.00,7.84500656E+1,
738.500,0.00000000E+0,
739.00,-4.57891350E+1,
739.500,-6.97474136E+1,
740.00,-5.82172546E+1,
740.500,-1.17484198E+1,
741.00,1.42830780E+2,
741.500,9.61999969E+1,
742.00,-2.43086452E+1,
742.500,-2.45540848E+1,
743.00,-1.23707294E+1,
743.500,-2.51618443E+1,
744.00,-7.62970352E+1,
744.500,7.73428955E+1,
745.00,9.09806671E+1,
745.500,-3.91789360E+1,
746.00,2.77498962E+2,
746.500,0.00000000E+0,
747.00,0.00000000E+0,
747.500,-6.83505096E+1,
748.00,1.37503290E+1,
748.500,8.38797150E+1,
749.00,1.12641251E+2,
749.500,1.42699203E+1,
750.00,5.75450439E+1,
750.500,-2.92211475E+1,
751.00,4.41863403E+1,
751.500,-4.45729446E+1,
752.00,1.20277542E+2,
752.500,-1.51861486E+1,
753.00,-4.60526581E+1,
753.500,1.39921356E+2,
754.00,-1.73136185E+2,
754.500,-4.76395988E+1,
755.00,0.00000000E+0,
755.500,4.87332458E+1,
756.00,-1.15072502E+2,
756.500,0.00000000E+0,
757.00,-3.35921555E+1,
757.500,-1.69690384E+2,
758.00,1.02883583E+2,
758.500,-3.47745399E+1,
759.00,-1.75631771E+1,
759.500,-3.54743767E+1,
760.00,-5.41004372E+1,
760.500,1.62608047E+2,
761.00,7.33748169E+1,
761.500,3.71576347E+1,
762.00,-1.13054535E+2,
762.500,0.00000000E+0,
763.00,-5.73339882E+1,
763.500,5.79942741E+1,
764.00,7.83271332E+1,
764.500,-1.78644012E+2,
765.00,-2.00392456E+1,
765.500,-1.61317245E+2,
766.00,4.08984718E+1,
766.500,-8.30285645E+1,
767.00,-1.04816986E+2,
767.500,-8.44458160E+1,
768.00,4.28130264E+1,
768.500,0.00000000E+0,
769.00,1.09073746E+2,
769.500,-1.31632187E+2,
770.00,0.00000000E+0,
770.500,1.79855545E+2,
771.00,1.36322739E+2,
771.500,1.83189835E+2,
772.00,1.16437729E+2,
772.500,2.34689884E+1,
773.00,1.90415878E+2,
773.500,-1.19918098E+2,
774.00,-4.84519691E+1,
774.500,-1.22783188E+2,
775.00,7.42995071E+1,
775.500,2.51965752E+1,
776.00,2.53477879E+1,
776.500,-1.02879089E+2,
777.00,-5.18669205E+1,
777.500,2.36606537E+2,
778.00,2.65120907E+1,
778.500,1.33767883E+2,
779.00,0.00000000E+0,
779.500,1.63907593E+2,
780.00,0.00000000E+0,
780.500,-1.11537903E+2,
781.00,-5.65131721E+1,
781.500,-1.72067551E+2,
782.00,1.74339767E+2,
782.500,2.05125427E+2,
783.00,0.00000000E+0,
783.500,0.00000000E+0,
784.00,9.08762665E+1,
784.500,6.14831123E+1,
785.00,3.08763084E+1,
785.500,-1.55733261E+2,
786.00,1.26207672E+2,
786.500,-3.18403797E+1,
787.00,-1.61202972E+2,
787.500,0.00000000E+0,
788.00,9.91391449E+1,
788.500,3.32302490E+2,
789.00,0.00000000E+0,
789.500,6.78509598E+1,
790.00,2.06062805E+2,
790.500,2.08384262E+2,
791.00,6.99707870E+1,
791.500,2.49195190E+2,
792.00,0.00000000E+0,
792.500,-1.08722603E+2,
793.00,-1.09704613E+2,
793.500,7.38238449E+1,
794.00,-1.12264717E+2,
794.500,-3.01667847E+2,
795.00,1.14138458E+2,
795.500,1.15210571E+2,
796.00,-3.87000504E+1,
796.500,-3.14297668E+2,
797.00,-1.18841629E+2,
797.500,-2.00125351E+2,
798.00,-1.61363327E+2,
798.500,-1.22455536E+2,
799.00,-2.47598465E+2,
799.500,-1.25018883E+2,
800.00,0.00000000E+0,
800.500,2.13966843E+2,
801.00,4.30758896E+1,
801.500,-8.73933105E+1,
802.00,-8.80521698E+1,
802.500,-1.33510025E+2,
803.00,-4.49806900E+1,
803.500,-4.51760635E+1,
804.00,4.57535744E+1,
804.500,4.63015976E+1,
805.00,-3.26404510E+2,
805.500,-4.26258667E+2,
806.00,2.86970520E+2,
806.500,9.67711639E+1,
807.00,9.71043625E+1,
807.500,2.45286652E+2,
808.00,1.48972397E+2,
808.500,5.02448654E+1,
809.00,5.58090088E+2,
809.500,-3.58105438E+2,
810.00,0.00000000E+0,
810.500,-1.04897072E+2,
811.00,-1.58002609E+2,
811.500,1.61189209E+2,
812.00,3.25600647E+2,
812.500,3.85041321E+2,
813.00,-2.22820709E+2,
813.500,-2.24642517E+2,
814.00,1.14750656E+2,
814.500,1.15887016E+2,
815.00,-2.93211456E+2,
815.500,2.98415436E+2,
816.00,-1.81657990E+2,
816.500,-1.23217239E+2,
817.00,-1.24629929E+2,
817.500,0.00000000E+0,
818.00,-3.84923737E+2,
818.500,6.52217407E+1,
819.00,4.64544739E+2,
819.500,4.06165863E+2,
820.00,1.37265762E+2,
820.500,-1.39530090E+2,
821.00,-2.13564316E+2,
821.500,-2.17247681E+2,
822.00,0.00000000E+0,
822.500,-3.04744904E+2,
823.00,4.65878967E+2,
823.500,-6.34527588E+2,
824.00,8.09463654E+1,
824.500,3.32528473E+2,
825.00,-5.12749207E+2,
825.500,-5.22672302E+2,
826.00,3.58990814E+2,
826.500,-4.62895142E+2,
827.00,0.00000000E+0,
827.500,2.93529785E+2,
828.00,3.00294769E+2,
828.500,1.03304138E+2,
829.00,-2.14238190E+2,
829.500,-2.20706635E+2,
830.00,-6.83792480E+2,
