Labels,F3-1500-450=EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1286.000,1.29223047E+3,
1287.000,1.40883887E+3,
1288.000,1.40099792E+3,
1289.000,1.41308350E+3,
1290.00,1.43944275E+3,
1291.000,1.54126746E+3,
1292.000,1.51404895E+3,
1293.000,1.53857227E+3,
1294.000,1.51014954E+3,
1295.000,1.56242773E+3,
1296.000,1.64856055E+3,
1297.000,1.69588232E+3,
1298.000,1.70582910E+3,
1299.000,1.67411548E+3,
1300.00,1.71960193E+3,
1301.000,1.84497473E+3,
1302.000,1.83335535E+3,
1303.000,1.87759045E+3,
1304.000,1.92599683E+3,
1305.000,1.96063623E+3,
1306.000,2.03559204E+3,
1307.000,2.09876514E+3,
1308.000,2.14815088E+3,
1309.000,2.10365479E+3,
1310.00,2.20158765E+3,
1311.000,2.24802515E+3,
1312.000,2.31950342E+3,
1313.000,2.33216992E+3,
1314.000,2.32696167E+3,
1315.000,2.38228369E+3,
1316.000,2.36921680E+3,
1317.000,2.49809937E+3,
1318.000,2.54564160E+3,
1319.000,2.52565283E+3,
1320.00,2.63328394E+3,
1321.000,2.62486987E+3,
1322.000,2.70271509E+3,
1323.000,2.84630713E+3,
1324.000,2.92918994E+3,
1325.000,2.91067065E+3,
1326.000,3.03518213E+3,
1327.000,3.01648706E+3,
1328.000,3.06056958E+3,
1329.000,3.19098315E+3,
1330.00,3.21983984E+3,
1331.000,3.35600195E+3,
1332.000,3.36144458E+3,
1333.000,3.33545923E+3,
1334.000,3.43324780E+3,
1335.000,3.50203564E+3,
1336.000,3.53700220E+3,
1337.000,3.66986133E+3,
1338.000,3.71708936E+3,
1339.000,3.81332227E+3,
