0.002cr-fitted-136.66%
  QY = 136.66%
Labels,EmScan16,kongbai,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

836.00,3.26259613E+2,-6.50900513E+2,
837.00,7.06190430E+2,-7.04525940E+2,
838.00,0.00000000E+0,0.00000000E+0,
839.00,4.19475708E+2,-4.18515320E+2,
840.00,4.59334930E+2,0.00000000E+0,
841.00,0.00000000E+0,-5.00016052E+2,
842.00,1.09329163E+3,-5.47896912E+2,
843.00,0.00000000E+0,-5.99945374E+2,
844.00,0.00000000E+0,-6.60902649E+2,
845.00,0.00000000E+0,-1.45037732E+3,
846.00,8.01860291E+2,0.00000000E+0,
847.00,8.85254578E+2,-1.76763037E+3,
848.00,0.00000000E+0,-1.95051111E+3,
849.00,2.15500513E+3,-2.14871143E+3,
850.00,0.00000000E+0,-1.18385303E+3,
