Labels,425-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1700.00,
Step,1.00,
Fixed/Offset,425.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1309.000,4.20270361E+3,
1310.00,4.33914404E+3,
1311.000,4.41250195E+3,
1312.000,4.50756641E+3,
1313.000,4.62086084E+3,
1314.000,4.75519922E+3,
1315.000,4.76711377E+3,
1316.000,4.87487207E+3,
1317.000,5.04592529E+3,
1318.000,5.09187451E+3,
1319.000,5.07844043E+3,
1320.00,5.32471240E+3,
1321.000,5.40153516E+3,
1322.000,5.52701611E+3,
1323.000,5.59196973E+3,
1324.000,5.70361719E+3,
1325.000,5.76759229E+3,
1326.000,5.94702881E+3,
1327.000,6.09983984E+3,
1328.000,6.25423633E+3,
1329.000,6.26548145E+3,
1330.00,6.43435449E+3,
1331.000,6.47446680E+3,
1332.000,6.65351855E+3,
1333.000,6.75740234E+3,
1334.000,6.80347412E+3,
1335.000,7.04201563E+3,
1336.000,7.05340723E+3,
1337.000,7.27418457E+3,
1338.000,7.34378613E+3,
1339.000,7.43023975E+3,
1340.00,7.48945605E+3,
1341.000,7.74664795E+3,
1342.000,7.91630420E+3,
1343.000,8.01107080E+3,
1344.000,8.20077930E+3,
1345.000,8.41278125E+3,
1346.000,8.49307910E+3,
1347.000,8.72162793E+3,
1348.000,8.76873438E+3,
1349.000,8.98856152E+3,
1350.00,9.15535840E+3,
1351.000,9.22158105E+3,
1352.000,9.51618262E+3,
1353.000,9.77495313E+3,
1354.000,9.90602539E+3,
1355.000,1.02982832E+4,
1356.000,1.04219941E+4,
1357.000,1.04606143E+4,
1358.000,1.05743232E+4,
1359.000,1.06881318E+4,
1360.00,1.12168574E+4,
1361.000,1.15101377E+4,
1362.000,1.22542617E+4,
1363.000,1.18030225E+4,
1364.000,1.16595596E+4,
1365.000,1.20978350E+4,
1366.000,1.20104678E+4,
1367.000,1.21121924E+4,
1368.000,1.25075928E+4,
1369.000,1.27915576E+4,
