Labels,RT-2,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,460.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

1164.000,4.87334082E+3,
1165.000,4.79206494E+3,
1166.000,4.70714795E+3,
1167.000,4.69315820E+3,
1168.000,4.57231689E+3,
1169.000,4.50532617E+3,
1170.00,4.41087598E+3,
1171.000,4.34966846E+3,
1172.000,4.34538818E+3,
1173.000,4.23454102E+3,
1174.000,4.24025586E+3,
1175.000,4.16431396E+3,
1176.000,4.05697070E+3,
1177.000,3.96978931E+3,
1178.000,3.95265430E+3,
1179.000,3.95763599E+3,
1180.00,3.87031201E+3,
1181.000,3.84609570E+3,
1182.000,3.65310791E+3,
1183.000,3.68282520E+3,
1184.000,3.63280249E+3,
1185.000,3.54120850E+3,
1186.000,3.52791968E+3,
1187.000,3.43022144E+3,
1188.000,3.44618408E+3,
1189.000,3.31482007E+3,
1190.00,3.33002759E+3,
1191.000,3.33424707E+3,
1192.000,3.31077051E+3,
1193.000,3.19164575E+3,
1194.000,3.14496143E+3,
1195.000,3.05208643E+3,
1196.000,3.06286890E+3,
1197.000,2.96029028E+3,
1198.000,2.99788989E+3,
1199.000,2.92984985E+3,
1200.00,2.93739941E+3,
1201.000,2.88102466E+3,
1202.000,2.80691602E+3,
1203.000,2.78052661E+3,
1204.000,2.69652441E+3,
1205.000,2.69857031E+3,
1206.000,2.67357642E+3,
1207.000,2.61141309E+3,
1208.000,2.51386475E+3,
1209.000,2.60416431E+3,
1210.00,2.45083862E+3,
1211.000,2.48288989E+3,
1212.000,2.45554834E+3,
1213.000,2.42779224E+3,
1214.000,2.31646826E+3,
1215.000,2.32643408E+3,
1216.000,2.29739111E+3,
1217.000,2.24942773E+3,
1218.000,2.16983423E+3,
1219.000,2.30357007E+3,
1220.00,2.21903223E+3,
1221.000,2.17712183E+3,
