Labels,001ni,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1201.000,3.67802704E+2,
1202.000,4.07629883E+2,
1203.000,3.98494263E+2,
1204.000,3.91943268E+2,
1205.000,3.39240326E+2,
1206.000,4.18699402E+2,
1207.000,3.77948456E+2,
1208.000,3.81032990E+2,
1209.000,3.97284912E+2,
1210.00,3.71290863E+2,
1211.000,3.54281799E+2,
1212.000,3.45403656E+2,
1213.000,3.70008514E+2,
1214.000,3.18974609E+2,
1215.000,3.42960449E+2,
1216.000,3.74131500E+2,
1217.000,3.18297760E+2,
1218.000,3.60635345E+2,
1219.000,3.12379852E+2,
1220.00,3.53516510E+2,
1221.000,3.34408661E+2,
1222.000,3.48581207E+2,
1223.000,3.53265747E+2,
1224.000,3.62116516E+2,
1225.000,3.29172516E+2,
1226.000,3.33681396E+2,
1227.000,3.47402130E+2,
1228.000,3.30362000E+2,
1229.000,3.34026489E+2,
1230.00,3.17065277E+2,
1231.000,3.21418091E+2,
1232.000,3.01802490E+2,
1233.000,3.43746368E+2,
1234.000,3.34912140E+2,
1235.000,3.09599792E+2,
1236.000,3.05823456E+2,
1237.000,3.37556366E+2,
1238.000,3.31774872E+2,
1239.000,3.59351898E+2,
1240.00,3.21356628E+2,
1241.000,3.57982788E+2,
1242.000,3.44024323E+2,
1243.000,3.56441101E+2,
1244.000,3.37503265E+2,
1245.000,3.42498413E+2,
1246.000,3.45586761E+2,
1247.000,2.98588745E+2,
1248.000,3.60226563E+2,
1249.000,3.64391418E+2,
1250.00,3.71441437E+2,
1251.000,3.66283417E+2,
1252.000,3.20974792E+2,
1253.000,3.54916321E+2,
1254.000,3.65710846E+2,
1255.000,3.07658325E+2,
1256.000,3.68304657E+2,
1257.000,3.49917053E+2,
1258.000,3.33556671E+2,
1259.000,3.57273254E+2,
1260.00,3.65543884E+2,
1261.000,3.84868500E+2,
1262.000,3.62294769E+2,
1263.000,3.66903229E+2,
1264.000,3.53709290E+2,
1265.000,3.43915649E+2,
1266.000,3.71117828E+2,
1267.000,4.07984619E+2,
1268.000,3.98697235E+2,
1269.000,4.03648224E+2,
1270.00,4.07201965E+2,
1271.000,4.02470612E+2,
1272.000,3.93958618E+2,
1273.000,4.06987549E+2,
1274.000,4.16533661E+2,
1275.000,4.52398163E+2,
1276.000,4.52266693E+2,
1277.000,3.97020264E+2,
1278.000,4.58954529E+2,
1279.000,4.66666229E+2,
1280.00,4.76549347E+2,
1281.000,4.64031738E+2,
1282.000,4.81711426E+2,
1283.000,4.51661224E+2,
1284.000,4.67877045E+2,
1285.000,4.71582794E+2,
1286.000,4.81140320E+2,
1287.000,4.79289093E+2,
1288.000,5.34505066E+2,
1289.000,5.34793091E+2,
1290.00,4.95560028E+2,
1291.000,5.10357971E+2,
1292.000,5.22593750E+2,
1293.000,5.45995056E+2,
1294.000,5.73177856E+2,
1295.000,5.71126404E+2,
1296.000,5.54479431E+2,
1297.000,5.65059753E+2,
1298.000,5.56258057E+2,
1299.000,6.48431091E+2,
1300.00,6.29604858E+2,
1301.000,5.92586243E+2,
1302.000,5.95586792E+2,
1303.000,6.51108948E+2,
1304.000,6.43071716E+2,
1305.000,6.55333862E+2,
1306.000,6.73868530E+2,
1307.000,6.96411804E+2,
1308.000,6.63312805E+2,
1309.000,7.06807617E+2,
1310.00,7.65350159E+2,
1311.000,7.05549988E+2,
1312.000,7.51358032E+2,
1313.000,7.64604187E+2,
1314.000,7.60352966E+2,
1315.000,7.46669922E+2,
1316.000,7.74500244E+2,
1317.000,8.03021667E+2,
1318.000,8.41032043E+2,
1319.000,8.76630676E+2,
1320.00,8.83653870E+2,
1321.000,8.48142700E+2,
1322.000,8.93470642E+2,
1323.000,9.20821106E+2,
1324.000,9.34541504E+2,
1325.000,9.46775208E+2,
1326.000,9.42446350E+2,
1327.000,9.35174622E+2,
1328.000,9.34939636E+2,
1329.000,1.00032959E+3,
1330.00,1.03801331E+3,
1331.000,1.07074329E+3,
1332.000,1.02519958E+3,
1333.000,1.09445728E+3,
1334.000,1.05885986E+3,
1335.000,1.12162646E+3,
1336.000,1.10387585E+3,
1337.000,1.11373669E+3,
1338.000,1.16103406E+3,
1339.000,1.21701367E+3,
1340.00,1.21004126E+3,
1341.000,1.26683374E+3,
1342.000,1.25592358E+3,
1343.000,1.25119568E+3,
1344.000,1.24099988E+3,
1345.000,1.30733667E+3,
1346.000,1.28520850E+3,
1347.000,1.36190491E+3,
1348.000,1.42368408E+3,
1349.000,1.40855518E+3,
1350.00,1.46852271E+3,
1351.000,1.44948511E+3,
1352.000,1.52579358E+3,
1353.000,1.52829065E+3,
1354.000,1.51799402E+3,
1355.000,1.63198608E+3,
1356.000,1.58537134E+3,
1357.000,1.60569678E+3,
1358.000,1.64221851E+3,
1359.000,1.64473474E+3,
1360.00,1.67453064E+3,
1361.000,1.75827148E+3,
1362.000,1.83383020E+3,
1363.000,1.75985620E+3,
1364.000,1.79922119E+3,
1365.000,1.84738440E+3,
1366.000,1.79142786E+3,
1367.000,1.77773584E+3,
